"Color Name";"Color Number";"Hex";"RGB"
"Fairbank Green";"DE6250";"#9D9C7E";"rgb(157, 156, 126)"
"Green Scene";"DE6251";"#858365";"rgb(133, 131, 101)"
"Secret Path";"DE6252";"#737054";"rgb(115, 112, 84)"
"Cotton Field";"DE6253";"#F2F0E8";"rgb(242, 240, 232)"
"Light Sprinkle";"DE6254";"#E3E3D7";"rgb(227, 227, 215)"
"Wishing Well";"DE6255";"#D0D1C1";"rgb(208, 209, 193)"
"Turtle Trail";"DE6256";"#B6B5A0";"rgb(182, 181, 160)"
"Battle Harbor";"DE6257";"#9C9C82";"rgb(156, 156, 130)"
"Ivy Garden";"DE6258";"#818068";"rgb(129, 128, 104)"
"Secluded Green";"DE6259";"#6F6D56";"rgb(111, 109, 86)"
"Wishful White";"DE6260";"#F4F1E8";"rgb(244, 241, 232)"
"Ice Palace";"DE6261";"#E2E4D7";"rgb(226, 228, 215)"
"Glass Tile";"DE6262";"#CDD0C0";"rgb(205, 208, 192)"
"Pistachio Shell";"DE6263";"#B1B6A3";"rgb(177, 182, 163)"
"Fair Spring";"DE6264";"#93977F";"rgb(147, 151, 127)"
"Moss Covered";"DE6265";"#7A7E66";"rgb(122, 126, 102)"
"Bijoux Green";"DE6266";"#676B55";"rgb(103, 107, 85)"
"Dove's Wing";"DE6267";"#F4F2EA";"rgb(244, 242, 234)"
"Pearly Star";"DE6268";"#E4E4DA";"rgb(228, 228, 218)"
"Particular Mint";"DE6269";"#D0D2C5";"rgb(208, 210, 197)"
"Antique Coin";"DE6270";"#B5B8A8";"rgb(181, 184, 168)"
"Elemental Green";"DE6271";"#969783";"rgb(150, 151, 131)"
"Dried Chive";"DE6272";"#7B7D69";"rgb(123, 125, 105)"
"Green Gate";"DE6273";"#676957";"rgb(103, 105, 87)"
"Frostbite";"DE6274";"#ECEBE5";"rgb(236, 235, 229)"
"Silver Creek";"DE6275";"#D9DAD2";"rgb(217, 218, 210)"
"Silhouette";"DE6276";"#CBCDC4";"rgb(203, 205, 196)"
"Pebble Walk";"DE6277";"#AFB2A7";"rgb(175, 178, 167)"
"Stone Creek";"DE6278";"#8F9183";"rgb(143, 145, 131)"
"Armored Steel";"DE6279";"#747769";"rgb(116, 119, 105)"
"English Forest";"DE6280";"#606256";"rgb(96, 98, 86)"
"Shadow White";"DE6281";"#EEF1EA";"rgb(238, 241, 234)"
"Distant Haze";"DE6282";"#DFE4DA";"rgb(223, 228, 218)"
