"Color Name";"Color Number";"Hex";"RGB"
"Silver Metallic";"735";"#B9BABA";"rgb(185, 186, 186)"
"Gold Metallic";"736";"#B69F5F";"rgb(182, 159, 95)"
"Ivory";"758";"#EBDCBA";"rgb(235, 220, 186)"
"Light Ivory";"758-01";"#E9D5B9";"rgb(233, 213, 185)"
"Beige";"719";"#E7CD9B";"rgb(231, 205, 155)"
"Cream";"719-01";"#F5DFA0";"rgb(245, 223, 160)"
"Tan";"727";"#AE8552";"rgb(174, 133, 82)"
"Light Brown";"727-01";"#AC875C";"rgb(172, 135, 92)"
"Caramel";"728";"#7E4C25";"rgb(126, 76, 37)"
"Medium Brown";"728-01";"#804F28";"rgb(128, 79, 40)"
"Fawn Brown";"761";"#6C4121";"rgb(108, 65, 33)"
"Chocolate Brown";"718";"#50362A";"rgb(80, 54, 42)"
"Dark Brown";"762";"#43291D";"rgb(67, 41, 29)"
"Brown";"718-01";"#432822";"rgb(67, 40, 34)"
"Red Brown";"790";"#5F231B";"rgb(95, 35, 27)"
"Nut Brown";"787";"#B35621";"rgb(179, 86, 33)"
"Primrose Yellow";"807";"#F5DC00";"rgb(245, 220, 0)"
"Bright Yellow";"839";"#FBC400";"rgb(251, 196, 0)"
"Yellow";"855";"#FFC100";"rgb(255, 193, 0)"
"Sunflower Yellow";"806";"#FFBB00";"rgb(255, 187, 0)"
"Dark Yellow";"856";"#FBAB00";"rgb(251, 171, 0)"
"Signal Yellow";"862";"#EEA600";"rgb(238, 166, 0)"
"Corn Yellow";"860";"#FBA900";"rgb(251, 169, 0)"
"Light Orange";"866";"#EF6500";"rgb(239, 101, 0)"
"Orange";"805";"#E66000";"rgb(230, 96, 0)"
"Bright Orange";"848";"#E7560E";"rgb(231, 86, 14)"
"Warm Red";"865";"#DB3C05";"rgb(219, 60, 5)"
"Bright Red";"837";"#CE2100";"rgb(206, 33, 0)"
"Medium Red";"826";"#C51D14";"rgb(197, 29, 20)"
"Tomato Red";"850";"#C11212";"rgb(193, 18, 18)"
"Geranium Red";"849";"#B70318";"rgb(183, 3, 24)"
"Cherry Red";"803";"#A80A14";"rgb(168, 10, 20)"
"Red";"864";"#A11B18";"rgb(161, 27, 24)"
"Dark Red";"858";"#830F1A";"rgb(131, 15, 26)"
"Burgundy Red";"802";"#691929";"rgb(105, 25, 41)"
"Deep Purple";"867";"#630F36";"rgb(99, 15, 54)"
"Pink";"816";"#F08AB8";"rgb(240, 138, 184)"
"Magenta";"873";"#D15988";"rgb(209, 89, 136)"
"Blossom";"872";"#BE3975";"rgb(190, 57, 117)"
"Cyclamen";"815";"#B42C69";"rgb(180, 44, 105)"
"Lilac";"871";"#C195C6";"rgb(193, 149, 198)"
"Lavender";"870";"#816AAD";"rgb(129, 106, 173)"
"Purple";"868";"#5F346D";"rgb(95, 52, 109)"
"Violet";"817";"#5D3B86";"rgb(93, 59, 134)"
"Cobalt Blue";"824";"#16183E";"rgb(22, 24, 62)"
"Dark Blue";"823";"#15255D";"rgb(21, 37, 93)"
"Royal Blue";"853";"#192B6E";"rgb(25, 43, 110)"
"Navy Blue";"876";"#223763";"rgb(34, 55, 99)"
"Marine Blue";"847";"#0E3373";"rgb(14, 51, 115)"
"Vivid Blue";"851";"#07377D";"rgb(7, 55, 125)"
"Sapphire Blue";"852";"#1E367F";"rgb(30, 54, 127)"
"Standard Blue";"875";"#004880";"rgb(0, 72, 128)"
"Brillant Blue";"874";"#1D499D";"rgb(29, 73, 157)"
"Cosmos Blue";"808";"#005297";"rgb(0, 82, 151)"
