"Color Name";"Color Number";"Hex";"RGB"
"Lost Love";"1047-2";"#E5D7D4";"rgb(229, 215, 212)"
"Just Gorgeous";"1047-3";"#D6C4C1";"rgb(214, 196, 193)"
"Ancestral";"1047-4";"#D0C1C3";"rgb(208, 193, 195)"
"Coffee Custard";"1047-5";"#AB9B9C";"rgb(171, 155, 156)"
"Choo Choo";"1047-6";"#867578";"rgb(134, 117, 120)"
"Carob Chip";"1047-7";"#5A484B";"rgb(90, 72, 75)"
"Lauren's Lace";"1048-1";"#EFEAE7";"rgb(239, 234, 231)"
"Silk Sheets";"1048-2";"#EFDDDF";"rgb(239, 221, 223)"
"Rose Cloud";"1048-3";"#E2C9CE";"rgb(226, 201, 206)"
"Rose Stain";"1048-4";"#D3B6BA";"rgb(211, 182, 186)"
"Coffee Rose";"1048-5";"#A9898D";"rgb(169, 137, 141)"
"Chocolate Sparkle";"1048-6";"#8C6C6F";"rgb(140, 108, 111)"
"Gooseberry";"1048-7";"#604046";"rgb(96, 64, 70)"
"Snowy Mount";"1049-1";"#F1EEEB";"rgb(241, 238, 235)"
"Sweet Bianca";"1049-2";"#EEDADD";"rgb(238, 218, 221)"
"Nostalgia";"1049-3";"#D6B8BD";"rgb(214, 184, 189)"
"Lighthearted Rose";"1049-4";"#C7A1A9";"rgb(199, 161, 169)"
"Mauve Madness";"1049-5";"#AA7982";"rgb(170, 121, 130)"
"Cabernet";"1049-6";"#8E5B68";"rgb(142, 91, 104)"
"Red Red Wine";"1049-7";"#71424A";"rgb(113, 66, 74)"
"Bare Pink";"1050-1";"#F2E7E7";"rgb(242, 231, 231)"
"Pink Pail";"1050-2";"#EACED4";"rgb(234, 206, 212)"
"Love In A Mist";"1050-3";"#E1B9C2";"rgb(225, 185, 194)"
"Madagascar Pink";"1050-4";"#D194A1";"rgb(209, 148, 161)"
"Briar Rose";"1050-5";"#C07281";"rgb(192, 114, 129)"
"Heart's Content";"1050-6";"#A9586C";"rgb(169, 88, 108)"
"Magenta";"1050-7";"#953D55";"rgb(149, 61, 85)"
"Cozy Cottage";"1051-1";"#F2DDD8";"rgb(242, 221, 216)"
"Pink Cardoon";"1051-2";"#ECC9CA";"rgb(236, 201, 202)"
"Strawberry Mousse";"1051-3";"#E9B3B4";"rgb(233, 179, 180)"
"Pink Clay Pot";"1051-4";"#D99294";"rgb(217, 146, 148)"
"Cranberry";"1051-5";"#C27277";"rgb(194, 114, 119)"
"Grenadine";"1051-6";"#AC545E";"rgb(172, 84, 94)"
"Apple-a-day";"1051-7";"#903F45";"rgb(144, 63, 69)"
"Ginger Cream";"1052-1";"#EFE0D7";"rgb(239, 224, 215)"
"Brandy Alexander";"1052-2";"#F3E2DC";"rgb(243, 226, 220)"
"Strawflower";"1052-3";"#DDBDBA";"rgb(221, 189, 186)"
"Floral Tapestry";"1052-4";"#C39191";"rgb(195, 145, 145)"
"Horizon Glow";"1052-5";"#AD7171";"rgb(173, 113, 113)"
"Mesa Red";"1052-6";"#92555B";"rgb(146, 85, 91)"
"Ruby Lips";"1052-7";"#813E45";"rgb(129, 62, 69)"
"Cow's Milk";"1053-1";"#F1EDE5";"rgb(241, 237, 229)"
"Shangri La";"1053-2";"#ECD4D2";"rgb(236, 212, 210)"
"Powdered Petals";"1053-3";"#E3C7C6";"rgb(227, 199, 198)"
"Radiant Rouge";"1053-4";"#D7B1B2";"rgb(215, 177, 178)"
"Brandy Snaps";"1053-5";"#B58E8B";"rgb(181, 142, 139)"
"Clay Ridge";"1053-6";"#956A66";"rgb(149, 106, 102)"
"Burgundy Wine";"1053-7";"#6C403E";"rgb(108, 64, 62)"
"Winter Wedding";"1054-1";"#F1E4DC";"rgb(241, 228, 220)"
"Sweet Truffle";"1054-2";"#F0DCD7";"rgb(240, 220, 215)"
